word,category,section,subcategory,phonetic,part_of_speech,meaning_cn,example_en,example_cn,source,difficulty
adept,GRE,GRE核心词,GRE核心词,,adj.,精通的,,,gre核心词data.xlsx,1
adhere,GRE,GRE核心词,GRE核心词,,v.,"依附于…,坚持",,,gre核心词data.xlsx,1
adjacent,GRE,GRE核心词,GRE核心词,,adj.,相邻的,,,gre核心词data.xlsx,1
adjudicate,GRE,GRE核心词,GRE核心词,,v.,"裁定, 宣判",,,gre核心词data.xlsx,1
adjunct,GRE,GRE核心词,GRE核心词,,n.,附属物,,,gre核心词data.xlsx,1
adjuration,GRE,GRE核心词,GRE核心词,,n.,恳求,,,gre核心词data.xlsx,1
admonish,GRE,GRE核心词,GRE核心词,/ədˈmɒnɪʃ/,verb,警告,She admonished him for his mistake.,她警告他不要再犯。,,3
adorn,GRE,GRE核心词,GRE核心词,,v.,装饰,,,gre核心词data.xlsx,1
adroit,GRE,GRE核心词,GRE核心词,,adj.,灵巧的,,,gre核心词data.xlsx,1
adulation,GRE,GRE核心词,GRE核心词,,n.,"恭维, 吹捧",,,gre核心词data.xlsx,1
adulterate,GRE,GRE核心词,GRE核心词,,v.,掺假,,,gre核心词data.xlsx,1
adversarial,GRE,GRE核心词,GRE核心词,,adj.,敌对的,,,gre核心词data.xlsx,1
adverse,GRE,GRE核心词,GRE核心词,,adj.,"不利的, 有害的",,,gre核心词data.xlsx,1
aesthetic,GRE,GRE核心词,GRE核心词,/iːsˈθetɪk/,adjective,美学的,The aesthetic design is impressive.,美学设计令人印象深刻。,,2
affable,GRE,GRE核心词,GRE核心词,,adj.,和蔼可亲的,,,gre核心词data.xlsx,1
affect,GRE,GRE核心词,GRE核心词,,v.,"伪装, 装腔作势",,,gre核心词data.xlsx,1
affiliate,GRE,GRE核心词,GRE核心词,,v.,附属,,,gre核心词data.xlsx,1
affinity,GRE,GRE核心词,GRE核心词,,n.,"倾向, 偏好",,,gre核心词data.xlsx,1
affirmative,GRE,GRE核心词,GRE核心词,,adj.,积极的,,,gre核心词data.xlsx,1
affluent,GRE,GRE核心词,GRE核心词,/ˈæfluənt/,adjective,富裕的,Affluent neighborhoods.,富裕的社区。,,2
agglomerate,GRE,GRE核心词,GRE核心词,,v.,聚集,,,gre核心词data.xlsx,1
aggrandize,GRE,GRE核心词,GRE核心词,,v.,"夸大, 吹捧",,,gre核心词data.xlsx,1
aggrieve,GRE,GRE核心词,GRE核心词,,v.,使痛苦,,,gre核心词data.xlsx,1
aghast,GRE,GRE核心词,GRE核心词,,adj.,吃惊的,,,gre核心词data.xlsx,1
agog,GRE,GRE核心词,GRE核心词,,adj.,急切渴望的,,,gre核心词data.xlsx,1
agonize,GRE,GRE核心词,GRE核心词,,v.,感到痛苦，挣扎,,,gre核心词data.xlsx,1
agreeable,GRE,GRE核心词,GRE核心词,,adj.,适合的,,,gre核心词data.xlsx,1
ailment,GRE,GRE核心词,GRE核心词,,n.,疾病,,,gre核心词data.xlsx,1
aimless,GRE,GRE核心词,GRE核心词,,adj.,漫无目的的,,,gre核心词data.xlsx,1
airtight,GRE,GRE核心词,GRE核心词,,adj.,"密封的, 不透气的",,,gre核心词data.xlsx,1
akin,GRE,GRE核心词,GRE核心词,,adj.,"相似的, 相关的",,,gre核心词data.xlsx,1
alacrity,GRE,GRE核心词,GRE核心词,/əˈlækrəti/,noun,欣然,He accepted the offer with alacrity.,他欣然接受了提议。,,3
alarmism,GRE,GRE核心词,GRE核心词,,n.,"（毫无根据的）担忧, 危言耸听",,,gre核心词data.xlsx,1
albeit,GRE,GRE核心词,GRE核心词,,conj.,即使,,,gre核心词data.xlsx,1
alienate,GRE,GRE核心词,GRE核心词,,v.,疏远,,,gre核心词data.xlsx,1
allege,GRE,GRE核心词,GRE核心词,,v.,"断言, 宣称",,,gre核心词data.xlsx,1
allegory,GRE,GRE核心词,GRE核心词,,n.,象征,,,gre核心词data.xlsx,1
alleviate,GRE,GRE核心词,GRE核心词,,v.,减轻,,,gre核心词data.xlsx,1
alliance,GRE,GRE核心词,GRE核心词,,n.,"联盟, 联合",,,gre核心词data.xlsx,1
allure,GRE,GRE核心词,GRE核心词,,v.,引诱,,,gre核心词data.xlsx,1
aloof,GRE,GRE核心词,GRE核心词,,adj.,"冷漠的, 疏远的",,,gre核心词data.xlsx,1
alter,GRE,GRE核心词,GRE核心词,,v.,改变,,,gre核心词data.xlsx,1
altercate,GRE,GRE核心词,GRE核心词,,v.,争吵,,,gre核心词data.xlsx,1
altruism,GRE,GRE核心词,GRE核心词,,n.,"无私, 利他主义",,,gre核心词data.xlsx,1
amalgamate,GRE,GRE核心词,GRE核心词,/əˈmælɡəmeɪt/,verb,合并,The companies amalgamated.,公司合并了。,,3
amass,GRE,GRE核心词,GRE核心词,,v.,"积聚, 积累",,,gre核心词data.xlsx,1
ambiguous,GRE,GRE核心词,GRE核心词,/æmˈbɪɡjuəs/,adjective,模糊的,The statement was ambiguous.,这份声明含糊不清。,,3
ambivalent,GRE,GRE核心词,GRE核心词,,adj.,（情感、态度）矛盾的,,,gre核心词data.xlsx,1
ameliorate,GRE,GRE核心词,GRE核心词,/əˈmiːliəreɪt/,verb,改善,Measures to ameliorate poverty.,扶贫措施。,,3
amenable,GRE,GRE核心词,GRE核心词,,adj.,"愿意的, 服从的",,,gre核心词data.xlsx,1
amicable,GRE,GRE核心词,GRE核心词,,adj.,和善的,,,gre核心词data.xlsx,1
amid,GRE,GRE核心词,GRE核心词,,prep.,在…之中,,,gre核心词data.xlsx,1
amiss,GRE,GRE核心词,GRE核心词,,adj.,错误的,,,gre核心词data.xlsx,1
amorphous,GRE,GRE核心词,GRE核心词,,adj.,无固定形状的,,,gre核心词data.xlsx,1
amplify,GRE,GRE核心词,GRE核心词,,v.,详细阐述,,,gre核心词data.xlsx,1
anachronism,GRE,GRE核心词,GRE核心词,/əˈnækrənɪzəm/,noun,时代错误,The old customs are an anachronism.,旧习俗不合时宜。,,3
analgesic,GRE,GRE核心词,GRE核心词,,n.,止痛药,,,gre核心词data.xlsx,1
analogous,GRE,GRE核心词,GRE核心词,/əˈnæləɡəs/,adjective,类似的,Analogous situations.,类似的情况。,,3
anarchism,GRE,GRE核心词,GRE核心词,,n.,无政府主义,,,gre核心词data.xlsx,1
anathema,GRE,GRE核心词,GRE核心词,,n.,极其讨厌的人或事,,,gre核心词data.xlsx,1
anatomize,GRE,GRE核心词,GRE核心词,,v.,解剖,,,gre核心词data.xlsx,1
anchor,GRE,GRE核心词,GRE核心词,,v.,使...稳定,,,gre核心词data.xlsx,1
ancillary,GRE,GRE核心词,GRE核心词,,adj.,辅助的,,,gre核心词data.xlsx,1
anecdote,GRE,GRE核心词,GRE核心词,,n.,趣闻，轶事,,,gre核心词data.xlsx,1
anemia,GRE,GRE核心词,GRE核心词,,n.,缺乏活力,,,gre核心词data.xlsx,1
animadversion,GRE,GRE核心词,GRE核心词,,n.,"批判, 责骂",,,gre核心词data.xlsx,1
animate,GRE,GRE核心词,GRE核心词,,adj.,"活着的, 有生命的",,,gre核心词data.xlsx,1
animus,GRE,GRE核心词,GRE核心词,,n.,敌意,,,gre核心词data.xlsx,1
annals,GRE,GRE核心词,GRE核心词,,n.,历史记载,,,gre核心词data.xlsx,1
anneal,GRE,GRE核心词,GRE核心词,,v.,加固,,,gre核心词data.xlsx,1
annex,GRE,GRE核心词,GRE核心词,,v.,附加,,,gre核心词data.xlsx,1
annihilate,GRE,GRE核心词,GRE核心词,,v.,"毁灭, 毁坏",,,gre核心词data.xlsx,1
annotate,GRE,GRE核心词,GRE核心词,,v.,注释,,,gre核心词data.xlsx,1
anodyne,GRE,GRE核心词,GRE核心词,,adj.,不惹人厌烦的 止痛药,,,gre核心词data.xlsx,1
anomalous,GRE,GRE核心词,GRE核心词,,adj.,"不寻常的, 异常的",,,gre核心词data.xlsx,1
anomaly,GRE,GRE核心词,GRE核心词,/əˈnɒməli/,noun,异常,This is an anomaly.,这是异常现象。,,2
anonymous,GRE,GRE核心词,GRE核心词,,adj.,不出名的,,,gre核心词data.xlsx,1
antagonistic,GRE,GRE核心词,GRE核心词,,adj.,敌对的,,,gre核心词data.xlsx,1
antecedent,GRE,GRE核心词,GRE核心词,,n.,先前的,,,gre核心词data.xlsx,1
antediluvian,GRE,GRE核心词,GRE核心词,,adj.,极为过时的,,,gre核心词data.xlsx,1
anthropocentrism,GRE,GRE核心词,GRE核心词,,n.,人类中心说,,,gre核心词data.xlsx,1
anthropogenic,GRE,GRE核心词,GRE核心词,,adj.,人为的,,,gre核心词data.xlsx,1
anticipate,GRE,GRE核心词,GRE核心词,,v.,期待,,,gre核心词data.xlsx,1
antidote,GRE,GRE核心词,GRE核心词,,n. .,解药,,,gre核心词data.xlsx,1
antipathy,GRE,GRE核心词,GRE核心词,/ænˈtɪpəθi/,noun,反感,Strong antipathy.,强烈的反感。,,3
antiquarian,GRE,GRE核心词,GRE核心词,,adj.,古文物研究的,,,gre核心词data.xlsx,1
antiquated,GRE,GRE核心词,GRE核心词,,adj.,"老旧的, 过时的",,,gre核心词data.xlsx,1
antithesis,GRE,GRE核心词,GRE核心词,,n.,"相反, 对立",,,gre核心词data.xlsx,1
apathetic,GRE,GRE核心词,GRE核心词,,adj.,漠不关心的,,,gre核心词data.xlsx,1
apathy,GRE,GRE核心词,GRE核心词,/ˈæpəθi/,noun,冷漠,Political apathy.,政治冷漠。,,2
ape,GRE,GRE核心词,GRE核心词,,v.,（笨拙的）模仿,,,gre核心词data.xlsx,1
apex,GRE,GRE核心词,GRE核心词,,n.,"最高点, 顶峰",,,gre核心词data.xlsx,1
aplomb,GRE,GRE核心词,GRE核心词,,n.,"自信沉着, 泰然自若",,,gre核心词data.xlsx,1
apocalypse,GRE,GRE核心词,GRE核心词,,n.,大灾难,,,gre核心词data.xlsx,1
apocryphal,GRE,GRE核心词,GRE核心词,,adj.,"被人们普遍接受却不正确的, 假的",,,gre核心词data.xlsx,1
apogee,GRE,GRE核心词,GRE核心词,,n.,最高点,,,gre核心词data.xlsx,1
apolitical,GRE,GRE核心词,GRE核心词,,adj.,对政治不感兴趣的,,,gre核心词data.xlsx,1
apologist,GRE,GRE核心词,GRE核心词,,n.,辩护人,,,gre核心词data.xlsx,1
apology,GRE,GRE核心词,GRE核心词,,n.,辩护,,,gre核心词data.xlsx,1
apostle,GRE,GRE核心词,GRE核心词,,n.,狂热的支持者,,,gre核心词data.xlsx,1
appeal,GRE,GRE核心词,GRE核心词,,v.,"呼吁, 恳求",,,gre核心词data.xlsx,1
appease,GRE,GRE核心词,GRE核心词,/əˈpiːz/,verb,安抚,Appease the critics.,安抚批评者。,,3
applaud,GRE,GRE核心词,GRE核心词,,v.,"赞美, 支持",,,gre核心词data.xlsx,1
apposite,GRE,GRE核心词,GRE核心词,,adj.,"合适的, 相关的",,,gre核心词data.xlsx,1
appraise,GRE,GRE核心词,GRE核心词,,v.,评估,,,gre核心词data.xlsx,1
appreciable,GRE,GRE核心词,GRE核心词,,adj.,"可感知的, 可衡量的",,,gre核心词data.xlsx,1
appreciate,GRE,GRE核心词,GRE核心词,,v.,升值,,,gre核心词data.xlsx,1
apprehend,GRE,GRE核心词,GRE核心词,,v.,逮捕,,,gre核心词data.xlsx,1
apprentice,GRE,GRE核心词,GRE核心词,,n.,新手,,,gre核心词data.xlsx,1
approbate,GRE,GRE核心词,GRE核心词,,v.,"支持, 赞成",,,gre核心词data.xlsx,1
appropriate,GRE,GRE核心词,GRE核心词,,adj.,合适的,,,gre核心词data.xlsx,1
apropos,GRE,GRE核心词,GRE核心词,,adj.,合适的,,,gre核心词data.xlsx,1
apt,GRE,GRE核心词,GRE核心词,,adj.,合适的,,,gre核心词data.xlsx,1
arbitrary,GRE,GRE核心词,GRE核心词,/ˈɑːbɪtrəri/,adjective,任意的,An arbitrary decision.,一个武断的决定。,,2
arboreal,GRE,GRE核心词,GRE核心词,,adj.,树的,,,gre核心词data.xlsx,1
arcane,GRE,GRE核心词,GRE核心词,,adj.,难懂的，鲜为人知的,,,gre核心词data.xlsx,1
archaic,GRE,GRE核心词,GRE核心词,/ɑːˈkeɪɪk/,adjective,过时的,Archaic language.,过时的语言。,,3
archetypal,GRE,GRE核心词,GRE核心词,,n.,典型,,,gre核心词data.xlsx,1
archive,GRE,GRE核心词,GRE核心词,,v.,"存档, 保存",,,gre核心词data.xlsx,1
ardent,GRE,GRE核心词,GRE核心词,,adj.,"热衷的, 热情的",,,gre核心词data.xlsx,1
arduous,GRE,GRE核心词,GRE核心词,/ˈɑːdjuəs/,adjective,艰巨的,An arduous task.,艰巨的任务。,,2
arguably,GRE,GRE核心词,GRE核心词,,adv.,可以这样说地,,,gre核心词data.xlsx,1
aristocracy,GRE,GRE核心词,GRE核心词,,n.,"贵族统治, 精英统治",,,gre核心词data.xlsx,1
arrest,GRE,GRE核心词,GRE核心词,,v.,阻止,,,gre核心词data.xlsx,1
articulate,GRE,GRE核心词,GRE核心词,/ɑːˈtɪkjuleɪt/,verb,清晰地表达,Articulate your thoughts.,清晰地表达你的想法。,,2
artifice,GRE,GRE核心词,GRE核心词,,n.,诡计，欺骗,,,gre核心词data.xlsx,1
artless,GRE,GRE核心词,GRE核心词,,adj.,"朴实的, 单纯的",,,gre核心词data.xlsx,1
ascertain,GRE,GRE核心词,GRE核心词,/ˌæsəˈteɪn/,verb,查明,Ascertain the facts.,查明事实。,,3
ascetic,GRE,GRE核心词,GRE核心词,,adj.,生活朴素的,,,gre核心词data.xlsx,1
ascribe,GRE,GRE核心词,GRE核心词,,v.,归因于,,,gre核心词data.xlsx,1
aside,GRE,GRE核心词,GRE核心词,,n.,跑题,,,gre核心词data.xlsx,1
asperity,GRE,GRE核心词,GRE核心词,,n.,态度粗暴,,,gre核心词data.xlsx,1
assail,GRE,GRE核心词,GRE核心词,,v.,"批评, 攻击",,,gre核心词data.xlsx,1
assemblage,GRE,GRE核心词,GRE核心词,,v.,混合,,,gre核心词data.xlsx,1
asset,GRE,GRE核心词,GRE核心词,,n.,有价值的人或事,,,gre核心词data.xlsx,1
asseverate,GRE,GRE核心词,GRE核心词,,v.,郑重声明,,,gre核心词data.xlsx,1
assiduous,GRE,GRE核心词,GRE核心词,/əˈsɪdjuəs/,adjective,勤奋的,Assiduous worker.,勤奋的工作者。,,3
assimilate,GRE,GRE核心词,GRE核心词,,v.,吸收,,,gre核心词data.xlsx,1
associate,GRE,GRE核心词,GRE核心词,,n.,"同事, 伙伴",,,gre核心词data.xlsx,1
assuage,GRE,GRE核心词,GRE核心词,,v.,"安抚, 缓和",,,gre核心词data.xlsx,1
assume,GRE,GRE核心词,GRE核心词,,v.,假装,,,gre核心词data.xlsx,1
astringent,GRE,GRE核心词,GRE核心词,,adj.,"严厉的, 尖刻的",,,gre核心词data.xlsx,1
astronomical,GRE,GRE核心词,GRE核心词,,adj.,巨大的,,,gre核心词data.xlsx,1
astute,GRE,GRE核心词,GRE核心词,,adj.,敏锐的,,,gre核心词data.xlsx,1
asunder,GRE,GRE核心词,GRE核心词,,adj.,分裂的,,,gre核心词data.xlsx,1
atavism,GRE,GRE核心词,GRE核心词,,n.,重现,,,gre核心词data.xlsx,1
atheism,GRE,GRE核心词,GRE核心词,,n.,无神论,,,gre核心词data.xlsx,1
atrophy,GRE,GRE核心词,GRE核心词,/ˈætrəfi/,verb,萎缩,Muscles atrophy without use.,肌肉不使用会萎缩。,,3
attain,GRE,GRE核心词,GRE核心词,,v.,"达到, 获得",,,gre核心词data.xlsx,1
attenuate,GRE,GRE核心词,GRE核心词,,v.,使减弱,,,gre核心词data.xlsx,1
attune,GRE,GRE核心词,GRE核心词,,v.,使协调一致,,,gre核心词data.xlsx,1
audacious,GRE,GRE核心词,GRE核心词,,adj.,"大胆的, 无畏的",,,gre核心词data.xlsx,1
augment,GRE,GRE核心词,GRE核心词,,v.,放大,,,gre核心词data.xlsx,1
august,GRE,GRE核心词,GRE核心词,,adj.,"庄严的, 肃穆的",,,gre核心词data.xlsx,1
auspicious,GRE,GRE核心词,GRE核心词,,adj.,"吉兆的, 幸运的",,,gre核心词data.xlsx,1
austere,GRE,GRE核心词,GRE核心词,/ɒˈstɪə(r)/,adjective,简朴的,Austere lifestyle.,简朴的生活方式。,,3
authenticate,GRE,GRE核心词,GRE核心词,,v.,"验证, 证明....是真实的",,,gre核心词data.xlsx,1
authoritarian,GRE,GRE核心词,GRE核心词,,adj.,专制的,,,gre核心词data.xlsx,1
authoritative,GRE,GRE核心词,GRE核心词,,adj.,"权威的, 可信的",,,gre核心词data.xlsx,1
autocrat,GRE,GRE核心词,GRE核心词,,n.,独裁者,,,gre核心词data.xlsx,1
autonomous,GRE,GRE核心词,GRE核心词,/ɔːˈtɒnəməs/,adjective,自治的,Autonomous region.,自治区。,,2
autumn,GRE,GRE核心词,GRE核心词,,n.,"晚年, 暮年",,,gre核心词data.xlsx,1
avant-garde,GRE,GRE核心词,GRE核心词,,n.,"先锋派, 前卫派",,,gre核心词data.xlsx,1
avaricious,GRE,GRE核心词,GRE核心词,,adj.,贪婪的,,,gre核心词data.xlsx,1
avatar,GRE,GRE核心词,GRE核心词,,n.,"化身, 代表",,,gre核心词data.xlsx,1
aver,GRE,GRE核心词,GRE核心词,,v.,断言,,,gre核心词data.xlsx,1
averse,GRE,GRE核心词,GRE核心词,,adj.,反感的,,,gre核心词data.xlsx,1
aversion,GRE,GRE核心词,GRE核心词,/əˈvɜːʒn/,noun,厌恶,Have an aversion to.,厌恶...。,,2
avert,GRE,GRE核心词,GRE核心词,,v.,阻止,,,gre核心词data.xlsx,1
avian,GRE,GRE核心词,GRE核心词,,adj.,跟鸟有关的,,,gre核心词data.xlsx,1
avid,GRE,GRE核心词,GRE核心词,,adj.,"非常渴望的, 贪婪的",,,gre核心词data.xlsx,1
avow,GRE,GRE核心词,GRE核心词,,v.,承认,,,gre核心词data.xlsx,1
await,GRE,GRE核心词,GRE核心词,,v.,等待,,,gre核心词data.xlsx,1
awry,GRE,GRE核心词,GRE核心词,,adj.,错误的,,,gre核心词data.xlsx,1
axiomatic,GRE,GRE核心词,GRE核心词,,adj.,公理的，不证自明的,,,gre核心词data.xlsx,1
backbone,GRE,GRE核心词,GRE核心词,,n.,"支柱, 支撑",,,gre核心词data.xlsx,1
backfire,GRE,GRE核心词,GRE核心词,,v.,"事与愿违, 起反作用",,,gre核心词data.xlsx,1
backhanded,GRE,GRE核心词,GRE核心词,,adj.,不直接的,,,gre核心词data.xlsx,1
backlash,GRE,GRE核心词,GRE核心词,,n.,激烈反对,,,gre核心词data.xlsx,1
backwater,GRE,GRE核心词,GRE核心词,,n.,停滞、落后的地方,,,gre核心词data.xlsx,1
baffle,GRE,GRE核心词,GRE核心词,,v.,使...困惑,,,gre核心词data.xlsx,1
baleful,GRE,GRE核心词,GRE核心词,,adj.,邪恶的，不吉利的,,,gre核心词data.xlsx,1
balk,GRE,GRE核心词,GRE核心词,,v.,（突然地)拒绝,,,gre核心词data.xlsx,1
balkanize,GRE,GRE核心词,GRE核心词,,v.,使割据,,,gre核心词data.xlsx,1
balloon,GRE,GRE核心词,GRE核心词,,v.,快速上升,,,gre核心词data.xlsx,1
banal,GRE,GRE核心词,GRE核心词,/bəˈnɑːl/,adjective,陈腐的,Banal remarks.,陈腐的言论。,,3
baneful,GRE,GRE核心词,GRE核心词,,adj.,有害的,,,gre核心词data.xlsx,1
banish,GRE,GRE核心词,GRE核心词,,v.,驱逐,,,gre核心词data.xlsx,1
barbarity,GRE,GRE核心词,GRE核心词,,n.,"野蛮, 残忍",,,gre核心词data.xlsx,1
baroque,GRE,GRE核心词,GRE核心词,,adj.,"奢华的, 复杂的",,,gre核心词data.xlsx,1
barring,GRE,GRE核心词,GRE核心词,,prep.,除了......以外,,,gre核心词data.xlsx,1
base,GRE,GRE核心词,GRE核心词,,adj.,卑鄙的,,,gre核心词data.xlsx,1
baseless,GRE,GRE核心词,GRE核心词,,adj.,毫无根据的,,,gre核心词data.xlsx,1
bathetic,GRE,GRE核心词,GRE核心词,,adj.,陈腐的,,,gre核心词data.xlsx,1
becoming,GRE,GRE核心词,GRE核心词,,adj.,"（尤指有吸引力的）得体的, 合适的",,,gre核心词data.xlsx,1
bedrock,GRE,GRE核心词,GRE核心词,,n.,根基,,,gre核心词data.xlsx,1
befuddle,GRE,GRE核心词,GRE核心词,,v.,使...困惑,,,gre核心词data.xlsx,1
beget,GRE,GRE核心词,GRE核心词,,v.,导致,,,gre核心词data.xlsx,1
beholden,GRE,GRE核心词,GRE核心词,,adj.,亏欠的,,,gre核心词data.xlsx,1
belabor,GRE,GRE核心词,GRE核心词,,v.,批评,,,gre核心词data.xlsx,1
belated,GRE,GRE核心词,GRE核心词,,adj.,"晚的, 迟的",,,gre核心词data.xlsx,1
beleaguer,GRE,GRE核心词,GRE核心词,,v.,困扰，骚扰,,,gre核心词data.xlsx,1
belie,GRE,GRE核心词,GRE核心词,,v.,掩盖,,,gre核心词data.xlsx,1
belittle,GRE,GRE核心词,GRE核心词,,v.,"轻视, 贬低",,,gre核心词data.xlsx,1
belligerent,GRE,GRE核心词,GRE核心词,/bəˈlɪdʒərənt/,adjective,好斗的,A belligerent attitude.,好斗的态度。,,3
bellwether,GRE,GRE核心词,GRE核心词,,n.,领导者,,,gre核心词data.xlsx,1
bemoan,GRE,GRE核心词,GRE核心词,,v.,"哀悼, 悲伤",,,gre核心词data.xlsx,1
bemuse,GRE,GRE核心词,GRE核心词,,v.,使...困惑,,,gre核心词data.xlsx,1
benefactor,GRE,GRE核心词,GRE核心词,,n.,慈善家,,,gre核心词data.xlsx,1
beneficiary,GRE,GRE核心词,GRE核心词,,n.,受帮助的人,,,gre核心词data.xlsx,1
benefit,GRE,GRE核心词,GRE核心词,/ˈbenɪfɪt/,noun,利益,The new policy benefits everyone.,新政策让每个人受益。,,2
benevolent,GRE,GRE核心词,GRE核心词,/bəˈnevələnt/,adjective,仁慈的,A benevolent smile.,仁慈的微笑。,,2
benighted,GRE,GRE核心词,GRE核心词,,adj.,"无知的, 愚昧的",,,gre核心词data.xlsx,1
benign,GRE,GRE核心词,GRE核心词,,adj.,无害的,,,gre核心词data.xlsx,1
bent,GRE,GRE核心词,GRE核心词,,adj.,有倾向的,,,gre核心词data.xlsx,1
bequeath,GRE,GRE核心词,GRE核心词,,v.,遗赠,,,gre核心词data.xlsx,1
beset,GRE,GRE核心词,GRE核心词,,v.,困扰,,,gre核心词data.xlsx,1
bestow,GRE,GRE核心词,GRE核心词,,v.,"授予, 给予",,,gre核心词data.xlsx,1
betoken,GRE,GRE核心词,GRE核心词,,v.,预示,,,gre核心词data.xlsx,1
betray,GRE,GRE核心词,GRE核心词,,v.,（无意中）显露,,,gre核心词data.xlsx,1
